Date,ret,rv,vix,nfci
2023-05-24,-0.0073455126783059654,1.762558769463367e-05,20.03,-0.21
2023-05-25,0.008719456079012033,3.724876142570523e-05,19.14,-0.21
2023-05-26,0.01296468093164016,3.81415951194186e-05,17.95,-0.212
2023-05-30,1.6603130665870935e-05,3.2941123942282315e-05,17.46,-0.212
2023-05-31,-0.006127358186214238,2.1916187900432343e-05,17.94,-0.212
2023-06-01,0.00980621508585422,7.307237373240723e-05,15.65,-0.212
2023-06-02,0.014429812390106989,3.1376471700213685e-05,14.6,-0.214
2023-06-05,-0.002005591490657821,2.693235164944646e-05,14.73,-0.214
2023-06-06,0.0023511302338512508,1.411970727543435e-05,13.96,-0.214
2023-06-07,-0.003819293926420997,2.704680029427568e-05,13.94,-0.214
2023-06-08,0.006169571607523849,2.3827828245456357e-05,13.65,-0.214
2023-06-09,0.0011474010230507758,2.50107895550592e-05,13.83,-0.215
2023-06-12,0.009277974981754866,1.4862531993972439e-05,15.01,-0.215
2023-06-13,0.006908570725908447,1.2380217570799977e-05,14.61,-0.215
2023-06-14,0.000819089980126364,7.564142052930244e-05,13.88,-0.215
2023-06-15,0.012104580493589978,7.8277769878203e-05,14.5,-0.215
2023-06-16,-0.0036783764677519315,2.3531638985391338e-05,13.54,-0.217
2023-06-20,-0.004746353835235695,2.717009401336702e-05,13.88,-0.217
2023-06-21,-0.005259086366924848,1.3640087101455055e-05,13.2,-0.217
2023-06-22,0.003703930387334964,1.0074165533271576e-05,12.91,-0.217
2023-06-23,-0.007688288056503012,1.6067155159071582e-05,13.44,-0.221
2023-06-26,-0.0044969343631322545,2.5308176966175396e-05,14.25,-0.221
2023-06-27,0.011390733524182295,2.9972038241866688e-05,13.74,-0.221
2023-06-28,-0.000354139388390351,2.193336290781546e-05,13.43,-0.221
2023-06-29,0.004463568114490002,8.865636983721783e-06,13.54,-0.221
2023-06-30,0.0121943502618862,1.761563541492201e-05,13.59,-0.227
2023-07-03,0.0011699930926720725,4.5625069289294896e-06,13.57,-0.227
